"account_id","amount"
"23ecfe881dcd7b9eb63b6759b43d242dc693c89386abb7194a0fa4a94334e95f","100000000000000000000000"
"d26543aa013fc692c2daadfbfa9572bda14ed4176311918807faa34776ff1f08","0"
"tanrop012.near","0"
"unyilpasming.near","1000000000000000000000"
"f9f75f9ab3c182919fd5c2839916d6db0fa1d104fae116cef26edd2ad67f7b11","30000000000000000000000"
"magoy.near","2000000000000000000000"
"b4c30974c380834a4006df3bad330c21b59892e0912d423c313f6e0c82f19307","10000000000000000000000"
"ciomorvio.near","20000000000000000000000"
"98ad50bba4b4f91e78d6e1858a233af28c22a998143007b5cbb063dd116a0533","2000000000000000000000"
"nguyenhoaiphong.near","100000000000000000000"
"746de12cdcda13f7fdf97f1cd614c31b362e4ac72ccc824c3fb89a5edf0208f2","0"
"a5ef753359aa9b58fbe892575568656c09a71240548c0b530adfac7052bc1fb7","100000000000000000000000"
"633f36fc499f855075acbb04830a841212b42e01d8a4325fdef38846d34a93f4","1000000000000000000000"
"95432c74d822646941d57c1afdf018e2ac1e166d4165a9ea0a39cee797df8621","1000000000000000000000"
"31ca8bcacb2d3167ed44c7f10eb84da9561b2f92a36e11551cac394eb34f6f62","1000000000000000000000"
"6e68061a9aae6b5d2d0852cc06ab2421a1fcc5e526a13b10391107ce4007e4f2","50000000000000000000000"
"halstenberg.near","1000000000000000000000"
"cc06e9143f963b34eae483d79f1a1284cbdafc880e9f1c080290265ec1f92733","20000000000000000000000"
"eb0fe4a006db5b8038e5c8fc8ee338378d7894ecdec2636e06093e6b66b4cc4a","400000000000000000000000"
"f53e014718423b094c0e6712a23b225196bcb7f2c593f38f780e571b29a83619","1000000000000000000000000"
"a93ab794ef19279ee2098482b6b7d0b1451b1e84156ead74c81644c13543b9e9","8400000000000000000000"
"fawzyma.near","0"
"2ffdf22400b6c0c540a7313b7a7beacc94621cea0829a20ec6eaee5ec1efefcc","10000000000000000000000"
"nonso821.near","100000000000000000000000"
"ebenlob1.near","10000000000000000000000"
"64e233c746d1da7c4c06994750ebfa87fcbbb5099524af60dc176f64e0e725c8","180000000000000000000000"
"4940e7fdd2e570705c89a83df9d0cc8e166b31917eaa0220334254b2f07836a2","0"
"sashikanta024.near","36100000000000000000000"
"baade6a78a371bda6b016a90ddf3a622889e134b9ce9f83dc78638604799f8db","30000000000000000000000"
"4a4ac492c2bae5bca42298dc10307908c63f817ca989dee40315baf335d23a43","250000000000000000000000"
"a9e585c08c0ad9205373a7faae6704ddc596e4abcb9d1d082ad0f7fb263b7913","240000000000000000000000"
"f7407b4d58e7ff7dc5e30592059e512f876f12214546392870294ce198db852b","20000000000000000000000"
"b20360bfed9d4766a3ef90ae391be118e0868e9ba010f2384900a60796df3e63","100000000000000000000000"
"omara1.near","110000000000000000000000"
"5c3b96756f07be360629f82e6accf4c7635da8c1396a134cd61df67e5e3d85ae","529000000000000000000000"
"630ca51f4057f25ed266e2df7c4bb82a0cfa4584e4fa690cf4adb5a199a7b4d8","110000000000000000000000"
"f5e72eab25afc8284c3aef47dab66e173f17856a2dc3a9d5b41fece759df9fbc","110000000000000000000000"
"hitty.near","1000000000000000000000"
"gnabry26.near","1000000000000000000000"
"f8b0b679b702ac863bafe3a4954c542206c2d9c53a70001916879b5883c53ac9","10000000000000000000000"
"fb941318b736fd646644d4c56d61057aed1f9ce92f97b5c0d0cd2ff95d017ad2","2000000000000000000000"
"861bd5933c157d1bc148a63c2659f63b219cf1ad84340a51e324a662718ef6ad","14000000000000000000000"
"xiec.near","10000000000000000000000"
"lamia.near","10000000000000000000000"
"e29cc6b85340db35d67e2ce92a77211ac9c1c0dce504850e7b4892b230622dd0","20000000000000000000000"
"ruman37.near","50000000000000000000000"
"amazingbeerbelly-test.near","8700000000000000000000"
"ced255380b597e23290d9c5abb0dcec88e46321fb5ff0ef06cff29944042fa39","936318035075000000000000"
"b6757cb834cdf7ac5631b416209939b7c7888e13b6b4de24a87eb0146d978892","10000000000000000000000"
"a43b30a4dcb09189345e9ccb7a9c1853e12e6688eeedd11ba47768c32f770a55","10000000000000000000000"
"6bf906a2f342282889f6b5c48736aa5dc4d506b7b3048509103523eb1e083dad","3000000000000000000000"
"38914b46bf415ff8f4eaf3f449f6a8c49575124e28fcb3e72cefae6ad284efd9","6000000000000000000000"
"74ff55c107d7121b9b82e77728aa0e60306c058f139d7799d4f46abb9fdac83b","4000000000000000000000"
